#SeqID	Length	Prediction
NODE_86_length_10516_cov_74.6289_ID_16596	10516	Plasmid
NODE_87_length_10295_cov_32.6139_ID_10876	10295	Chromosome
NODE_88_length_9556_cov_30.0613_ID_11036	9556	Plasmid
NODE_89_length_9024_cov_36.7229_ID_11294	9024	Chromosome
NODE_90_length_8843_cov_32.9953_ID_11376	8843	Plasmid
NODE_91_length_8809_cov_28.7649_ID_11520	8809	Chromosome
NODE_92_length_8805_cov_69.3751_ID_11434	8805	Chromosome
NODE_93_length_6808_cov_99.2387_ID_18442	6808	Plasmid
NODE_94_length_6767_cov_59.444_ID_11920	6767	Chromosome
NODE_95_length_6300_cov_64.5246_ID_13457	6300	Plasmid
NODE_96_length_6095_cov_39.1722_ID_12320	6095	Chromosome
NODE_97_length_5686_cov_136.806_ID_18466	5686	Plasmid
NODE_98_length_5538_cov_36.6595_ID_13102	5538	Chromosome
NODE_99_length_5143_cov_149.96_ID_18444	5143	Plasmid
NODE_100_length_4868_cov_271.58_ID_18223	4868	Chromosome
NODE_101_length_4636_cov_43.6333_ID_12218	4636	Chromosome
NODE_102_length_4564_cov_50.1703_ID_15773	4564	Chromosome
NODE_103_length_4544_cov_52.4284_ID_13707	4544	Plasmid
NODE_104_length_4451_cov_71.7916_ID_12496	4451	Plasmid
NODE_105_length_3977_cov_45.9001_ID_14945	3977	Plasmid
NODE_106_length_3969_cov_23.9969_ID_12418	3969	Plasmid
NODE_107_length_3893_cov_47.2035_ID_15051	3893	Chromosome
NODE_108_length_3830_cov_38.706_ID_13265	3830	Plasmid
NODE_109_length_3629_cov_62.7359_ID_18245	3629	Plasmid
NODE_110_length_3452_cov_81.3438_ID_12968	3452	Chromosome
NODE_111_length_3371_cov_67.4768_ID_16200	3371	Plasmid
NODE_112_length_3369_cov_42.8036_ID_12832	3369	Plasmid
NODE_113_length_3286_cov_95.1993_ID_18323	3286	Chromosome
NODE_114_length_3269_cov_11.3774_ID_12778	3269	Plasmid
NODE_115_length_3053_cov_34.6921_ID_12910	3053	Plasmid
NODE_116_length_3001_cov_92.5709_ID_13173	3001	Chromosome
NODE_117_length_2962_cov_31.504_ID_13335	2962	Plasmid
NODE_118_length_2945_cov_89.5218_ID_18237	2945	Chromosome
NODE_119_length_2890_cov_65.1993_ID_16958	2890	Plasmid
NODE_120_length_2699_cov_158.113_ID_18279	2699	Plasmid
NODE_121_length_2458_cov_129.064_ID_18249	2458	Plasmid
NODE_122_length_2455_cov_109.354_ID_18235	2455	Plasmid
NODE_123_length_2425_cov_154.153_ID_14041	2425	Plasmid
NODE_124_length_2388_cov_39.5315_ID_13605	2388	Plasmid
NODE_125_length_2286_cov_59.6123_ID_13543	2286	Chromosome
NODE_126_length_2272_cov_165.915_ID_18299	2272	Plasmid
NODE_127_length_2197_cov_45.6844_ID_15155	2197	Plasmid
NODE_128_length_2143_cov_1748.94_ID_18448	2143	Plasmid
NODE_129_length_2096_cov_28.0818_ID_13859	2096	Plasmid
NODE_130_length_2074_cov_38.1907_ID_13921	2074	Chromosome
NODE_131_length_2070_cov_114.877_ID_14319	2070	Chromosome
NODE_132_length_2003_cov_39.0041_ID_14663	2003	Plasmid
NODE_133_length_1926_cov_34.5692_ID_13979	1926	Chromosome
NODE_134_length_1875_cov_66.1956_ID_14131	1875	Plasmid
NODE_135_length_1729_cov_107.516_ID_18301	1729	Plasmid
NODE_136_length_1561_cov_71.2477_ID_15709	1561	Plasmid
NODE_137_length_1534_cov_97.1373_ID_18331	1534	Plasmid
NODE_138_length_1513_cov_34.5501_ID_14241	1513	Chromosome
NODE_139_length_1477_cov_43.6646_ID_14561	1477	Plasmid
NODE_140_length_1432_cov_28.2142_ID_14385	1432	Chromosome
NODE_141_length_1377_cov_51.382_ID_14851	1377	Plasmid
NODE_142_length_1345_cov_65.0527_ID_18309	1345	Plasmid
NODE_143_length_1344_cov_93.7161_ID_18239	1344	Plasmid
NODE_144_length_1306_cov_75.9289_ID_18305	1306	Plasmid
NODE_145_length_1232_cov_63.8165_ID_18281	1232	Chromosome
NODE_146_length_1223_cov_117.491_ID_18303	1223	Plasmid
NODE_147_length_1202_cov_207.013_ID_18231	1202	Plasmid
NODE_148_length_1157_cov_29.1552_ID_14757	1157	Plasmid
NODE_149_length_1062_cov_61.1559_ID_18319	1062	Plasmid
NODE_150_length_1031_cov_77.8535_ID_18247	1031	Plasmid
NODE_151_length_976_cov_104.352_ID_17806	976	Chromosome
NODE_152_length_946_cov_105.724_ID_17104	946	Chromosome
NODE_153_length_941_cov_145.148_ID_16750	941	Plasmid
NODE_154_length_867_cov_136.227_ID_18317	867	Chromosome
NODE_155_length_820_cov_418.183_ID_18271	820	Chromosome
NODE_156_length_760_cov_1215.34_ID_18229	760	Plasmid
NODE_157_length_744_cov_127.074_ID_18289	744	Plasmid
NODE_158_length_718_cov_60.1569_ID_18243	718	Plasmid
NODE_159_length_667_cov_509.435_ID_18241	667	Plasmid
NODE_160_length_640_cov_211.945_ID_18295	640	Chromosome
NODE_161_length_608_cov_224.215_ID_18313	608	Plasmid
NODE_162_length_606_cov_90.0163_ID_18259	606	Chromosome
NODE_163_length_580_cov_33.3295_ID_16432	580	Plasmid
NODE_164_length_579_cov_39.0248_ID_15919	579	Chromosome
NODE_165_length_577_cov_30.8602_ID_2655	577	Chromosome
NODE_166_length_570_cov_239.346_ID_18233	570	Chromosome
NODE_167_length_566_cov_79.7045_ID_18341	566	Plasmid
NODE_168_length_555_cov_86.236_ID_18351	555	Chromosome
NODE_169_length_538_cov_63.8551_ID_18267	538	Plasmid
NODE_170_length_513_cov_127.384_ID_18157	513	Chromosome
NODE_171_length_475_cov_34.119_ID_18432	475	Plasmid
NODE_172_length_467_cov_289.102_ID_16858	467	Plasmid
NODE_173_length_452_cov_166.02_ID_17432	452	Plasmid
NODE_174_length_436_cov_1.01837_ID_15877	436	Chromosome
NODE_175_length_427_cov_1_ID_15879	427	Plasmid
NODE_176_length_410_cov_0.861972_ID_15881	410	Plasmid
NODE_177_length_406_cov_1.06268_ID_15883	406	Plasmid
NODE_178_length_401_cov_1.01445_ID_15885	401	Plasmid
NODE_179_length_397_cov_0.900585_ID_15887	397	Chromosome
NODE_180_length_394_cov_139.737_ID_15901	394	Plasmid
NODE_181_length_391_cov_1.16667_ID_15889	391	Chromosome
NODE_182_length_391_cov_1.01786_ID_15891	391	Chromosome
NODE_183_length_384_cov_1.01824_ID_15893	384	Plasmid
NODE_184_length_382_cov_1.0581_ID_15895	382	Plasmid
NODE_185_length_375_cov_1.0375_ID_15897	375	Plasmid
NODE_186_length_375_cov_1.02812_ID_15899	375	Chromosome
NODE_187_length_358_cov_0.891089_ID_15903	358	Plasmid
NODE_188_length_355_cov_1.04_ID_15905	355	Plasmid
NODE_189_length_355_cov_35.3767_ID_15983	355	Plasmid
NODE_190_length_354_cov_88.0067_ID_18257	354	Plasmid
NODE_191_length_350_cov_1.24746_ID_15907	350	Chromosome
NODE_192_length_340_cov_39.3719_ID_16528	340	Plasmid
NODE_193_length_338_cov_0.929329_ID_15909	338	Chromosome
NODE_194_length_335_cov_1.11071_ID_15911	335	Chromosome
NODE_195_length_335_cov_1.03214_ID_15913	335	Chromosome
NODE_196_length_324_cov_44.2491_ID_18311	324	Plasmid
NODE_197_length_323_cov_1.01866_ID_15915	323	Chromosome
NODE_198_length_317_cov_1.04962_ID_15917	317	Chromosome
NODE_199_length_314_cov_1.06178_ID_16039	314	Plasmid
NODE_200_length_311_cov_0.867188_ID_16041	311	Chromosome
NODE_201_length_303_cov_34.0645_ID_18394	303	Chromosome
NODE_202_length_302_cov_55.8502_ID_16103	302	Chromosome
NODE_203_length_301_cov_32.2724_ID_16105	301	Chromosome
NODE_204_length_299_cov_63.3361_ID_16196	299	Chromosome
NODE_205_length_298_cov_43.2016_ID_16198	298	Plasmid
NODE_206_length_290_cov_62.6085_ID_18255	290	Plasmid
NODE_207_length_288_cov_42.6524_ID_18454	288	Plasmid
NODE_208_length_276_cov_28.3439_ID_16488	276	Chromosome
NODE_209_length_259_cov_38.9608_ID_16708	259	Chromosome
NODE_210_length_256_cov_42.6517_ID_16706	256	Chromosome
NODE_211_length_255_cov_87.065_ID_17616	255	Chromosome
NODE_212_length_255_cov_31.27_ID_16704	255	Chromosome
NODE_213_length_254_cov_97.5477_ID_16854	254	Plasmid
NODE_214_length_253_cov_46.8182_ID_18396	253	Plasmid
NODE_215_length_241_cov_49.1398_ID_18462	241	Plasmid
NODE_216_length_232_cov_68.7175_ID_18460	232	Plasmid
NODE_217_length_208_cov_39.6405_ID_18428	208	Chromosome
NODE_218_length_202_cov_110.014_ID_18464	202	Plasmid
NODE_219_length_194_cov_50.5252_ID_16856	194	Chromosome
NODE_220_length_188_cov_71.2556_ID_18287	188	Chromosome
NODE_221_length_160_cov_118.124_ID_18307	160	Plasmid
NODE_222_length_154_cov_52.3939_ID_17062	154	Plasmid
NODE_223_length_151_cov_21.5312_ID_18426	151	Chromosome
NODE_224_length_151_cov_91.0312_ID_18438	151	Plasmid
NODE_225_length_150_cov_38.8737_ID_17318	150	Chromosome
NODE_226_length_143_cov_32.6364_ID_17950	143	Plasmid
NODE_227_length_142_cov_28.5057_ID_18398	142	Chromosome
NODE_228_length_136_cov_25.679_ID_18386	136	Plasmid
NODE_229_length_132_cov_32.6104_ID_17260	132	Chromosome
NODE_230_length_130_cov_146.853_ID_18381	130	Chromosome
NODE_231_length_127_cov_97.8056_ID_17680	127	Plasmid
NODE_232_length_127_cov_244.25_ID_18416	127	Plasmid
NODE_233_length_122_cov_68.3731_ID_18408	122	Plasmid
NODE_234_length_121_cov_27.7576_ID_18406	121	Plasmid
NODE_235_length_119_cov_175.469_ID_18383	119	Chromosome
NODE_236_length_115_cov_71.6333_ID_17376	115	Chromosome
NODE_237_length_114_cov_41.9153_ID_18219	114	Plasmid
NODE_238_length_112_cov_10.4386_ID_18430	112	Plasmid
NODE_239_length_112_cov_29.5439_ID_17676	112	Plasmid
NODE_240_length_111_cov_182.214_ID_18420	111	Plasmid
NODE_241_length_111_cov_76.0893_ID_17678	111	Plasmid
NODE_242_length_111_cov_10.1964_ID_18388	111	Plasmid
NODE_243_length_109_cov_87.5741_ID_18424	109	Plasmid
NODE_244_length_109_cov_74.8889_ID_18414	109	Chromosome
NODE_245_length_108_cov_43.6792_ID_17722	108	Plasmid
NODE_246_length_108_cov_74.4717_ID_18458	108	Plasmid
NODE_247_length_107_cov_26.5385_ID_18392	107	Plasmid
NODE_248_length_106_cov_33.9804_ID_18452	106	Plasmid
NODE_249_length_103_cov_49.4375_ID_18265	103	Plasmid
NODE_250_length_102_cov_31.0213_ID_18456	102	Plasmid
NODE_251_length_98_cov_31.7907_ID_18400	98	Plasmid
NODE_252_length_97_cov_38.0476_ID_18418	97	Plasmid
NODE_253_length_97_cov_90.381_ID_18377	97	Plasmid
NODE_254_length_96_cov_99.122_ID_18285	96	Plasmid
NODE_255_length_94_cov_73.9487_ID_18277	94	Chromosome
NODE_256_length_88_cov_26.4545_ID_18412	88	Chromosome
NODE_257_length_87_cov_128.344_ID_18375	87	Chromosome
NODE_258_length_86_cov_54.6774_ID_18349	86	Plasmid
NODE_259_length_85_cov_198.733_ID_18434	85	Chromosome
NODE_260_length_81_cov_78.5385_ID_18436	81	Chromosome
NODE_261_length_79_cov_70.125_ID_18221	79	Chromosome
NODE_262_length_78_cov_156.522_ID_18283	78	Plasmid
NODE_263_length_77_cov_43.5_ID_18105	77	Plasmid
NODE_264_length_76_cov_252.286_ID_18227	76	Chromosome
NODE_265_length_74_cov_35.8947_ID_18422	74	Plasmid
NODE_266_length_73_cov_122.833_ID_18251	73	Chromosome
NODE_267_length_71_cov_69.8125_ID_18371	71	Chromosome
NODE_268_length_70_cov_55.6667_ID_18269	70	Plasmid
NODE_269_length_69_cov_37_ID_18217	69	Chromosome
NODE_270_length_68_cov_207.615_ID_18402	68	Plasmid
NODE_271_length_65_cov_205.4_ID_18335	65	Plasmid
NODE_272_length_63_cov_31.875_ID_18404	63	Chromosome
NODE_273_length_62_cov_288.714_ID_18379	62	Plasmid
NODE_274_length_60_cov_69_ID_18450	60	Plasmid
NODE_275_length_60_cov_232.8_ID_18440	60	Chromosome
NODE_276_length_59_cov_82.5_ID_18261	59	Plasmid
NODE_277_length_59_cov_209.5_ID_18339	59	Plasmid
NODE_278_length_58_cov_96_ID_18410	58	Plasmid
NODE_279_length_58_cov_116_ID_18357	58	Plasmid
NODE_280_length_57_cov_72.5_ID_18363	57	Chromosome
NODE_281_length_56_cov_93_ID_18373	56	Chromosome
NODE_282_length_56_cov_2299_ID_18390	56	Plasmid
NODE_283_length_56_cov_43_ID_18446	56	Chromosome
