#SeqID	Length	Prediction
NODE_66_length_43_cov_78.6364_ID_4075	43	Plasmid
NODE_67_length_41_cov_12.35_ID_4077	41	Plasmid
NODE_68_length_41_cov_9.55_ID_4079	41	Chromosome
NODE_69_length_40_cov_13.8421_ID_4081	40	Chromosome
NODE_70_length_38_cov_49.5882_ID_4083	38	Chromosome
NODE_71_length_37_cov_23.375_ID_4085	37	Plasmid
NODE_72_length_35_cov_27.6429_ID_4087	35	Chromosome
NODE_73_length_35_cov_154.714_ID_4089	35	Chromosome
NODE_74_length_34_cov_24.6154_ID_4091	34	Plasmid
NODE_75_length_34_cov_124.769_ID_4093	34	Plasmid
NODE_76_length_33_cov_24.6667_ID_4095	33	Plasmid
NODE_77_length_33_cov_20.5833_ID_4097	33	Plasmid
NODE_78_length_33_cov_26.4167_ID_4099	33	Plasmid
NODE_79_length_31_cov_63.5_ID_4101	31	Chromosome
NODE_80_length_31_cov_23.2_ID_4103	31	Chromosome
NODE_81_length_30_cov_77.6667_ID_4105	30	Chromosome
NODE_82_length_29_cov_55.375_ID_4107	29	Plasmid
NODE_83_length_29_cov_148.25_ID_4109	29	Chromosome
NODE_84_length_28_cov_21.7143_ID_4111	28	Plasmid
NODE_85_length_28_cov_87.5714_ID_4113	28	Chromosome
NODE_86_length_28_cov_74.4286_ID_4115	28	Plasmid
NODE_87_length_27_cov_110.5_ID_4117	27	Plasmid
NODE_88_length_26_cov_72.4_ID_4119	26	Plasmid
NODE_89_length_26_cov_23.4_ID_4121	26	Plasmid
NODE_90_length_25_cov_18.75_ID_4123	25	Chromosome
NODE_91_length_25_cov_48.25_ID_4125	25	Plasmid
NODE_92_length_25_cov_28.5_ID_4127	25	Plasmid
NODE_93_length_25_cov_22.75_ID_4129	25	Plasmid
NODE_94_length_25_cov_56.5_ID_4131	25	Plasmid
NODE_95_length_24_cov_39.3333_ID_4133	24	Plasmid
NODE_96_length_24_cov_47_ID_4135	24	Plasmid
NODE_97_length_24_cov_32.3333_ID_4137	24	Chromosome
NODE_98_length_24_cov_94.3333_ID_4139	24	Chromosome
NODE_99_length_24_cov_152.333_ID_4141	24	Plasmid
NODE_100_length_24_cov_196.333_ID_4143	24	Plasmid
NODE_101_length_24_cov_145_ID_4145	24	Chromosome
NODE_102_length_24_cov_47.6667_ID_4147	24	Chromosome
NODE_103_length_24_cov_173.333_ID_4149	24	Plasmid
NODE_104_length_24_cov_91.3333_ID_4151	24	Plasmid
NODE_105_length_23_cov_105.5_ID_4153	23	Chromosome
NODE_106_length_23_cov_254_ID_4155	23	Chromosome
NODE_107_length_23_cov_118_ID_4157	23	Plasmid
NODE_108_length_23_cov_125.5_ID_4159	23	Plasmid
NODE_109_length_22_cov_16_ID_4161	22	Chromosome
NODE_110_length_22_cov_40_ID_4163	22	Plasmid
NODE_111_length_22_cov_40_ID_4165	22	Chromosome
NODE_112_length_22_cov_28_ID_4167	22	Chromosome
NODE_113_length_22_cov_151_ID_4169	22	Plasmid
NODE_114_length_22_cov_51_ID_4171	22	Plasmid
NODE_115_length_22_cov_94_ID_4173	22	Plasmid
NODE_116_length_22_cov_115_ID_4175	22	Chromosome
